,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
32797,PIB Total,2022-08-22,2/2022,2.6221,2.7,0.5518,0.34,3.7,83.0,0
32798,PIB Total,2022-08-22,3/2022,2.441,2.5,0.705,0.0,4.4,82.0,0
32799,PIB Total,2022-08-22,4/2022,1.5651,1.425,0.9179,-0.1414,5.9528,82.0,0
32800,PIB Total,2022-08-22,1/2023,0.6757,0.6,0.7387,-0.748,2.9,74.0,0
32801,PIB Total,2022-08-22,2/2023,0.115,0.067,0.7125,-1.6,1.8,73.0,0
32802,PIB Total,2022-08-22,3/2023,0.1023,0.1,0.8001,-1.6,2.32,73.0,0
32803,PIB Total,2022-08-22,4/2023,0.4907,0.6,1.1804,-5.0118,4.067,73.0,0
32804,PIB Total,2022-08-22,1/2024,1.0052,1.0,0.7873,-0.8,2.6,51.0,0
32805,PIB Total,2022-08-23,2/2022,2.6313,2.7,0.644,0.34,3.7,50.0,1
32806,PIB Total,2022-08-23,3/2022,2.5198,2.6,0.7625,0.0,4.15,49.0,1
32807,PIB Total,2022-08-23,4/2022,1.7495,1.6,1.0603,-0.1414,5.9528,49.0,1
32808,PIB Total,2022-08-23,1/2023,0.7032,0.6,0.7004,-0.6,2.3755,46.0,1
32809,PIB Total,2022-08-23,2/2023,0.1309,0.05,0.6427,-1.3,1.5518,46.0,1
32810,PIB Total,2022-08-23,3/2023,0.1046,0.17,0.7212,-1.6,1.5,46.0,1
32811,PIB Total,2022-08-23,4/2023,0.4435,0.6,1.2958,-5.0118,4.067,46.0,1
32812,PIB Total,2022-08-23,1/2024,0.972,1.0,0.7654,-0.5,2.6,33.0,1
32813,PIB Total,2022-08-23,2/2022,2.6221,2.7,0.5518,0.34,3.7,83.0,0
32814,PIB Total,2022-08-23,3/2022,2.441,2.5,0.705,0.0,4.4,82.0,0
32815,PIB Total,2022-08-23,4/2022,1.5651,1.425,0.9179,-0.1414,5.9528,82.0,0
32816,PIB Total,2022-08-23,1/2023,0.6757,0.6,0.7387,-0.748,2.9,74.0,0
32817,PIB Total,2022-08-23,2/2023,0.115,0.067,0.7125,-1.6,1.8,73.0,0
32818,PIB Total,2022-08-23,3/2023,0.1023,0.1,0.8001,-1.6,2.32,73.0,0
32819,PIB Total,2022-08-23,4/2023,0.4907,0.6,1.1804,-5.0118,4.067,73.0,0
32820,PIB Total,2022-08-23,1/2024,1.0052,1.0,0.7873,-0.8,2.6,51.0,0
32821,PIB Total,2022-08-24,2/2022,2.6399,2.7,0.634,0.34,3.7,53.0,1
32822,PIB Total,2022-08-24,3/2022,2.4952,2.6,0.7559,0.0,4.15,52.0,1
32823,PIB Total,2022-08-24,4/2022,1.7448,1.6,1.0327,-0.1414,5.9528,52.0,1
32824,PIB Total,2022-08-24,1/2023,0.7295,0.6,0.6895,-0.6,2.3755,49.0,1
32825,PIB Total,2022-08-24,2/2023,0.1698,0.1,0.6588,-1.3,1.5518,49.0,1
32826,PIB Total,2022-08-24,3/2023,0.1635,0.2,0.7594,-1.6,1.7,49.0,1
32827,PIB Total,2022-08-24,4/2023,0.502,0.6,1.2852,-5.0118,4.067,49.0,1
32828,PIB Total,2022-08-24,1/2024,0.972,1.0,0.7654,-0.5,2.6,33.0,1
32829,PIB Total,2022-08-24,2/2022,2.6219,2.7,0.5494,0.34,3.7,84.0,0
32830,PIB Total,2022-08-24,3/2022,2.4369,2.5,0.7052,0.0,4.4,83.0,0
32831,PIB Total,2022-08-24,4/2022,1.5643,1.4,0.9135,-0.1414,5.9528,83.0,0
32832,PIB Total,2022-08-24,1/2023,0.684,0.6,0.7351,-0.748,2.9,75.0,0
32833,PIB Total,2022-08-24,2/2023,0.1242,0.0835,0.7121,-1.6,1.8,74.0,0
32834,PIB Total,2022-08-24,3/2023,0.1211,0.1,0.8109,-1.6,2.32,74.0,0
32835,PIB Total,2022-08-24,4/2023,0.5043,0.6,1.1782,-5.0118,4.067,74.0,0
32836,PIB Total,2022-08-24,1/2024,1.0052,1.0,0.7873,-0.8,2.6,51.0,0
32837,PIB Total,2022-08-25,2/2022,2.629,2.7,0.6236,0.34,3.7,54.0,1
32838,PIB Total,2022-08-25,3/2022,2.4071,2.57,0.84,-0.4,4.15,53.0,1
32839,PIB Total,2022-08-25,4/2022,1.7077,1.56,1.0448,-0.1414,5.9528,53.0,1
32840,PIB Total,2022-08-25,1/2023,0.7087,0.615,0.7282,-0.748,2.3755,48.0,1
32841,PIB Total,2022-08-25,2/2023,0.183,0.1,0.6592,-1.3,1.5518,48.0,1
32842,PIB Total,2022-08-25,3/2023,0.2002,0.2,0.7389,-1.6,1.7,48.0,1
32843,PIB Total,2022-08-25,4/2023,0.5568,0.6696,1.2833,-5.0118,4.067,48.0,1
32844,PIB Total,2022-08-25,1/2024,0.9632,1.0,0.7538,-0.5,2.6,32.0,1
32845,PIB Total,2022-08-25,2/2022,2.6193,2.7,0.548,0.34,3.7,84.0,0
32846,PIB Total,2022-08-25,3/2022,2.4092,2.5,0.7681,-0.4,4.4,83.0,0
32847,PIB Total,2022-08-25,4/2022,1.5828,1.45,0.9255,-0.1414,5.9528,83.0,0
32848,PIB Total,2022-08-25,1/2023,0.7014,0.6,0.7246,-0.748,2.9,74.0,0
32849,PIB Total,2022-08-25,2/2023,0.1396,0.1,0.7046,-1.6,1.8,73.0,0
32850,PIB Total,2022-08-25,3/2023,0.1324,0.1,0.8107,-1.6,2.32,73.0,0
32851,PIB Total,2022-08-25,4/2023,0.514,0.6,1.1833,-5.0118,4.067,73.0,0
32852,PIB Total,2022-08-25,1/2024,1.0153,1.0,0.7918,-0.8,2.6,50.0,0
32853,PIB Total,2022-08-26,2/2022,2.5943,2.7,0.6479,0.34,3.7,30.0,1
32854,PIB Total,2022-08-26,3/2022,2.3034,2.5153,0.9768,-0.4,4.15,30.0,1
32855,PIB Total,2022-08-26,4/2022,1.9138,1.75,1.2019,-0.1397,5.9528,30.0,1
32856,PIB Total,2022-08-26,1/2023,0.6541,0.6,0.7186,-0.748,2.34,23.0,1
32857,PIB Total,2022-08-26,2/2023,0.0914,0.067,0.877,-1.3,1.8,23.0,1
32858,PIB Total,2022-08-26,3/2023,0.0154,0.0,0.971,-1.6,2.0,23.0,1
32859,PIB Total,2022-08-26,4/2023,0.2196,0.4,1.4254,-5.0118,2.1993,23.0,1
32860,PIB Total,2022-08-26,1/2024,0.835,0.7357,0.5465,0.0,2.0,12.0,1
32861,PIB Total,2022-08-26,2/2022,2.662,2.7,0.4981,0.34,3.7,87.0,0
32862,PIB Total,2022-08-26,3/2022,2.4486,2.5305,0.7658,-0.4,4.4,87.0,0
32863,PIB Total,2022-08-26,4/2022,1.6256,1.5,0.9214,-0.1397,5.9528,87.0,0
32864,PIB Total,2022-08-26,1/2023,0.7056,0.6,0.716,-0.748,2.9,76.0,0
32865,PIB Total,2022-08-26,2/2023,0.1029,0.067,0.7226,-1.6,1.8,75.0,0
32866,PIB Total,2022-08-26,3/2023,0.0857,0.06,0.8319,-1.6,2.32,75.0,0
32867,PIB Total,2022-08-26,4/2023,0.4956,0.6,1.181,-5.0118,4.067,75.0,0
32868,PIB Total,2022-08-26,1/2024,0.9955,1.0,0.7889,-0.8,2.6,52.0,0
32869,PIB Total,2022-08-29,2/2022,2.6959,2.75,0.5523,0.34,3.7,33.0,1
32870,PIB Total,2022-08-29,3/2022,2.4395,2.58,0.9106,-0.4,4.15,33.0,1
32871,PIB Total,2022-08-29,4/2022,1.798,1.6,1.0054,-0.1397,5.9528,33.0,1
32872,PIB Total,2022-08-29,1/2023,0.7105,0.765,0.6904,-0.748,2.34,28.0,1
32873,PIB Total,2022-08-29,2/2023,0.1204,0.1335,0.7787,-1.2,1.8,28.0,1
32874,PIB Total,2022-08-29,3/2023,0.0877,0.0081,0.8538,-1.35,2.0,28.0,1
32875,PIB Total,2022-08-29,4/2023,0.4111,0.6413,1.3358,-5.0118,2.1993,28.0,1
32876,PIB Total,2022-08-29,1/2024,1.0953,1.0,0.6471,0.0,2.31,15.0,1
32877,PIB Total,2022-08-29,2/2022,2.6465,2.7,0.4974,0.34,3.7,85.0,0
32878,PIB Total,2022-08-29,3/2022,2.4339,2.57,0.749,-0.4,4.15,85.0,0
32879,PIB Total,2022-08-29,4/2022,1.6403,1.5,0.9014,-0.1397,5.9528,85.0,0
32880,PIB Total,2022-08-29,1/2023,0.6938,0.6,0.6621,-0.748,2.3755,75.0,0
32881,PIB Total,2022-08-29,2/2023,0.0904,0.0,0.7142,-1.6,1.8,75.0,0
32882,PIB Total,2022-08-29,3/2023,0.1096,0.1,0.8091,-1.6,2.32,75.0,0
32883,PIB Total,2022-08-29,4/2023,0.5541,0.6,1.158,-5.0118,4.067,75.0,0
32884,PIB Total,2022-08-29,1/2024,1.0353,1.0,0.7407,-0.5,2.6,51.0,0
32885,PIB Total,2022-08-30,2/2022,2.7061,2.75,0.5566,0.34,3.7,33.0,1
32886,PIB Total,2022-08-30,3/2022,2.4405,2.58,0.9107,-0.4,4.15,33.0,1
32887,PIB Total,2022-08-30,4/2022,1.781,1.6,1.0173,-0.1397,5.9528,33.0,1
32888,PIB Total,2022-08-30,1/2023,0.7023,0.75,0.6927,-0.748,2.34,28.0,1
32889,PIB Total,2022-08-30,2/2023,0.0897,0.0335,0.7895,-1.2,1.8,28.0,1
32890,PIB Total,2022-08-30,3/2023,0.0684,-0.125,0.8584,-1.35,2.0,28.0,1
32891,PIB Total,2022-08-30,4/2023,0.4304,0.763,1.3388,-5.0118,2.1993,28.0,1
32892,PIB Total,2022-08-30,1/2024,1.0953,1.0,0.6471,0.0,2.31,15.0,1
32893,PIB Total,2022-08-30,2/2022,2.6518,2.7,0.4969,0.34,3.7,86.0,0
32894,PIB Total,2022-08-30,3/2022,2.4347,2.5503,0.7446,-0.4,4.15,86.0,0
32895,PIB Total,2022-08-30,4/2022,1.6305,1.5,0.9007,-0.1397,5.9528,86.0,0
32896,PIB Total,2022-08-30,1/2023,0.6899,0.6,0.6586,-0.748,2.3755,76.0,0
32897,PIB Total,2022-08-30,2/2023,0.0813,0.0,0.7139,-1.6,1.8,76.0,0
32898,PIB Total,2022-08-30,3/2023,0.1029,0.08,0.8059,-1.6,2.32,76.0,0
32899,PIB Total,2022-08-30,4/2023,0.5586,0.6283,1.151,-5.0118,4.067,76.0,0
32900,PIB Total,2022-08-30,1/2024,1.0353,1.0,0.7407,-0.5,2.6,51.0,0
32901,PIB Total,2022-08-31,2/2022,2.6172,2.7,0.6515,0.34,3.7,32.0,1
32902,PIB Total,2022-08-31,3/2022,2.3799,2.575,0.9916,-0.4,4.15,32.0,1
32903,PIB Total,2022-08-31,4/2022,1.8741,1.6,1.196,-0.1397,5.9528,32.0,1
32904,PIB Total,2022-08-31,1/2023,0.6755,0.6,0.7073,-0.748,2.34,26.0,1
32905,PIB Total,2022-08-31,2/2023,0.0543,0.0335,0.7881,-1.2,1.8,26.0,1
32906,PIB Total,2022-08-31,3/2023,-0.0187,-0.25,0.7907,-1.35,2.0,26.0,1
32907,PIB Total,2022-08-31,4/2023,0.3291,0.6913,1.3309,-5.0118,2.1993,26.0,1
32908,PIB Total,2022-08-31,1/2024,1.1518,1.0,0.6637,0.0,2.31,16.0,1
32909,PIB Total,2022-08-31,2/2022,2.6518,2.7,0.4969,0.34,3.7,86.0,0
32910,PIB Total,2022-08-31,3/2022,2.4347,2.5503,0.7446,-0.4,4.15,86.0,0
32911,PIB Total,2022-08-31,4/2022,1.6305,1.5,0.9007,-0.1397,5.9528,86.0,0
32912,PIB Total,2022-08-31,1/2023,0.6899,0.6,0.6586,-0.748,2.3755,76.0,0
32913,PIB Total,2022-08-31,2/2023,0.0813,0.0,0.7139,-1.6,1.8,76.0,0
32914,PIB Total,2022-08-31,3/2023,0.1029,0.08,0.8059,-1.6,2.32,76.0,0
32915,PIB Total,2022-08-31,4/2023,0.5586,0.6283,1.151,-5.0118,4.067,76.0,0
32916,PIB Total,2022-08-31,1/2024,1.0353,1.0,0.7407,-0.5,2.6,51.0,0
32917,PIB Total,2022-09-01,3/2022,2.5791,2.6,0.884,0.0,4.15,33.0,1
32918,PIB Total,2022-09-01,4/2022,1.7696,1.7606,0.7373,-0.1397,3.0951,33.0,1
32919,PIB Total,2022-09-01,1/2023,0.759,0.65,0.6309,-0.4,2.34,28.0,1
32920,PIB Total,2022-09-01,2/2023,0.0702,0.1,0.791,-1.2,1.8,28.0,1
32921,PIB Total,2022-09-01,3/2023,-0.003,-0.125,0.7825,-1.35,2.0,28.0,1
32922,PIB Total,2022-09-01,4/2023,0.3205,0.5614,1.3155,-5.1812,2.2013,28.0,1
32923,PIB Total,2022-09-01,1/2024,1.1224,1.0,0.6459,0.0,2.31,17.0,1
32924,PIB Total,2022-09-01,2/2024,1.0667,1.0,0.0943,1.0,1.2,3.0,1
32925,PIB Total,2022-09-01,3/2022,2.4861,2.59,0.7561,-0.4,4.15,86.0,0
32926,PIB Total,2022-09-01,4/2022,1.5637,1.5,0.659,-0.1397,3.0951,86.0,0
32927,PIB Total,2022-09-01,1/2023,0.7075,0.6,0.6559,-0.748,2.3755,76.0,0
32928,PIB Total,2022-09-01,2/2023,0.0842,0.025,0.7088,-1.6,1.8,76.0,0
32929,PIB Total,2022-09-01,3/2023,0.095,0.1,0.7952,-1.6,2.32,76.0,0
32930,PIB Total,2022-09-01,4/2023,0.5361,0.6114,1.1553,-5.1812,4.1507,76.0,0
32931,PIB Total,2022-09-01,1/2024,1.0138,1.0,0.7293,-0.5,2.6,51.0,0
32932,PIB Total,2022-09-01,2/2024,1.0667,1.0,0.0943,1.0,1.2,3.0,0
32933,PIB Total,2022-09-02,3/2022,2.8191,2.9,0.9682,0.3,4.25,36.0,1
32934,PIB Total,2022-09-02,4/2022,1.8822,1.8806,0.9616,-0.3,3.78,36.0,1
32935,PIB Total,2022-09-02,1/2023,0.7669,0.8,0.8563,-1.8,2.29,32.0,1
32936,PIB Total,2022-09-02,2/2023,0.0652,0.025,0.6006,-0.9,1.32,32.0,1
32937,PIB Total,2022-09-02,3/2023,0.1501,0.0,0.787,-1.2,2.4,32.0,1
32938,PIB Total,2022-09-02,4/2023,0.5191,0.4765,0.9776,-1.1,4.1507,32.0,1
32939,PIB Total,2022-09-02,1/2024,0.9062,0.7107,0.6925,-0.1,2.23,22.0,1
32940,PIB Total,2022-09-02,2/2024,1.2068,1.13,0.5704,0.0,2.0,15.0,1
32941,PIB Total,2022-09-02,3/2022,2.5816,2.6,0.8525,-0.4,4.25,89.0,0
32942,PIB Total,2022-09-02,4/2022,1.6871,1.6,0.7936,-0.3,3.78,89.0,0
32943,PIB Total,2022-09-02,1/2023,0.7776,0.8,0.7443,-1.8,2.3755,79.0,0
32944,PIB Total,2022-09-02,2/2023,0.1356,0.067,0.6713,-1.6,1.8,79.0,0
32945,PIB Total,2022-09-02,3/2023,0.1535,0.1,0.8207,-1.6,2.4,79.0,0
32946,PIB Total,2022-09-02,4/2023,0.496,0.6,1.1284,-5.1812,4.1507,79.0,0
32947,PIB Total,2022-09-02,1/2024,0.9632,1.0,0.7424,-0.5,2.6,55.0,0
32948,PIB Total,2022-09-02,2/2024,1.2068,1.13,0.5704,0.0,2.0,15.0,0
32949,PIB Total,2022-09-05,3/2022,2.9086,3.2,0.9945,0.3,4.25,36.0,1
32950,PIB Total,2022-09-05,4/2022,2.0309,2.175,0.9788,-0.3,3.78,36.0,1
32951,PIB Total,2022-09-05,1/2023,0.8594,1.0,0.903,-1.8,2.29,31.0,1
32952,PIB Total,2022-09-05,2/2023,0.2496,0.2,0.6049,-0.8,1.32,31.0,1
32953,PIB Total,2022-09-05,3/2023,0.3114,0.2,0.779,-1.2,2.4,31.0,1
32954,PIB Total,2022-09-05,4/2023,0.5458,0.5,0.9749,-1.1,4.1507,31.0,1
32955,PIB Total,2022-09-05,1/2024,0.9065,0.7214,0.7061,-0.1,2.23,21.0,1
32956,PIB Total,2022-09-05,2/2024,1.2001,1.13,0.5494,0.0,2.0,17.0,1
32957,PIB Total,2022-09-05,3/2022,2.6519,2.7,0.8692,-0.4,4.25,90.0,0
32958,PIB Total,2022-09-05,4/2022,1.7491,1.7,0.8179,-0.3,3.78,90.0,0
32959,PIB Total,2022-09-05,1/2023,0.7927,0.8,0.7604,-1.8,2.3755,79.0,0
32960,PIB Total,2022-09-05,2/2023,0.1385,0.067,0.6713,-1.6,1.8,79.0,0
32961,PIB Total,2022-09-05,3/2023,0.1342,0.1,0.7766,-1.6,2.4,79.0,0
32962,PIB Total,2022-09-05,4/2023,0.4738,0.6,1.095,-5.1812,4.1507,79.0,0
32963,PIB Total,2022-09-05,1/2024,0.9592,1.0,0.7357,-0.5,2.6,55.0,0
32964,PIB Total,2022-09-05,2/2024,1.2001,1.13,0.5494,0.0,2.0,17.0,0
32965,PIB Total,2022-09-06,3/2022,2.984,3.2,0.9548,0.3,4.25,37.0,1
32966,PIB Total,2022-09-06,4/2022,2.1274,2.3,0.9107,-0.3,3.78,37.0,1
32967,PIB Total,2022-09-06,1/2023,0.8787,1.0,0.8994,-1.8,2.29,31.0,1
32968,PIB Total,2022-09-06,2/2023,0.2737,0.2,0.5852,-0.8,1.32,31.0,1
32969,PIB Total,2022-09-06,3/2023,0.3275,0.2,0.7692,-1.2,2.4,31.0,1
32970,PIB Total,2022-09-06,4/2023,0.5361,0.5,0.9728,-1.1,4.1507,31.0,1
32971,PIB Total,2022-09-06,1/2024,0.9107,0.7607,0.6901,-0.1,2.23,22.0,1
32972,PIB Total,2022-09-06,2/2024,1.2029,1.165,0.534,0.0,2.0,18.0,1
32973,PIB Total,2022-09-06,3/2022,2.6892,2.705,0.8668,-0.4,4.25,90.0,0
32974,PIB Total,2022-09-06,4/2022,1.7902,1.8329,0.8112,-0.3,3.78,90.0,0
32975,PIB Total,2022-09-06,1/2023,0.7977,0.9,0.7604,-1.8,2.3755,79.0,0
32976,PIB Total,2022-09-06,2/2023,0.1385,0.067,0.6713,-1.6,1.8,79.0,0
32977,PIB Total,2022-09-06,3/2023,0.1342,0.1,0.7766,-1.6,2.4,79.0,0
32978,PIB Total,2022-09-06,4/2023,0.4738,0.6,1.095,-5.1812,4.1507,79.0,0
32979,PIB Total,2022-09-06,1/2024,0.9592,1.0,0.7357,-0.5,2.6,55.0,0
32980,PIB Total,2022-09-06,2/2024,1.2029,1.165,0.534,0.0,2.0,18.0,0
32981,PIB Total,2022-09-08,3/2022,3.022,3.2,0.9142,0.3,4.25,39.0,1
32982,PIB Total,2022-09-08,4/2022,2.1444,2.3,0.9113,-0.3,3.78,39.0,1
32983,PIB Total,2022-09-08,1/2023,0.9418,1.0,0.9859,-1.8,3.1,33.0,1
32984,PIB Total,2022-09-08,2/2023,0.3323,0.2,0.7196,-0.8,2.9,33.0,1
32985,PIB Total,2022-09-08,3/2023,0.347,0.2,0.7921,-1.2,2.4,33.0,1
32986,PIB Total,2022-09-08,4/2023,0.5505,0.5,0.9676,-1.1,4.1507,33.0,1
32987,PIB Total,2022-09-08,1/2024,0.8842,0.8,0.6405,-0.1,2.23,23.0,1
32988,PIB Total,2022-09-08,2/2024,1.2238,1.2,0.5273,0.0,2.0,19.0,1
32989,PIB Total,2022-09-08,3/2022,2.7074,2.715,0.8676,-0.4,4.25,91.0,0
32990,PIB Total,2022-09-08,4/2022,1.807,1.8611,0.8224,-0.3,3.78,91.0,0
32991,PIB Total,2022-09-08,1/2023,0.8308,0.9,0.8145,-1.8,3.1,80.0,0
32992,PIB Total,2022-09-08,2/2023,0.1715,0.0835,0.7348,-1.6,2.9,80.0,0
32993,PIB Total,2022-09-08,3/2023,0.1551,0.1,0.7965,-1.6,2.4,80.0,0
32994,PIB Total,2022-09-08,4/2023,0.477,0.5068,1.0966,-5.1812,4.1507,80.0,0
32995,PIB Total,2022-09-08,1/2024,0.9653,1.0,0.7305,-0.5,2.6,56.0,0
32996,PIB Total,2022-09-08,2/2024,1.2238,1.2,0.5273,0.0,2.0,19.0,0
32997,PIB Total,2022-09-09,3/2022,2.9774,3.2,0.9748,0.0,4.25,48.0,1
32998,PIB Total,2022-09-09,4/2022,2.2773,2.5,0.8502,-0.3,3.78,48.0,1
32999,PIB Total,2022-09-09,1/2023,0.952,1.05,0.97,-1.8,3.1,42.0,1
33000,PIB Total,2022-09-09,2/2023,0.3826,0.428,0.7405,-1.4388,2.9,42.0,1
33001,PIB Total,2022-09-09,3/2023,0.3466,0.3,0.756,-1.2,2.4,42.0,1
33002,PIB Total,2022-09-09,4/2023,0.4168,0.5,1.2819,-5.1812,4.5256,42.0,1
33003,PIB Total,2022-09-09,1/2024,0.8647,1.0,0.7478,-0.7,2.23,31.0,1
33004,PIB Total,2022-09-09,2/2024,1.2401,1.165,0.6537,0.0,2.6,26.0,1
33005,PIB Total,2022-09-09,3/2022,2.7727,2.8,0.8933,-0.4,4.25,92.0,0
33006,PIB Total,2022-09-09,4/2022,1.9209,2.0,0.8443,-0.3,3.78,92.0,0
33007,PIB Total,2022-09-09,1/2023,0.9027,0.945,0.8409,-1.8,3.1,80.0,0
33008,PIB Total,2022-09-09,2/2023,0.228,0.125,0.7452,-1.4388,2.9,80.0,0
33009,PIB Total,2022-09-09,3/2023,0.1886,0.1,0.793,-1.6,2.4,80.0,0
33010,PIB Total,2022-09-09,4/2023,0.5105,0.6,1.1119,-5.1812,4.5256,80.0,0
33011,PIB Total,2022-09-09,1/2024,0.9438,1.0,0.7595,-0.7,2.6,57.0,0
33012,PIB Total,2022-09-09,2/2024,1.2312,1.13,0.6431,0.0,2.6,27.0,0
33013,PIB Total,2022-09-12,3/2022,2.9608,3.12,0.9223,0.0,4.25,47.0,1
33014,PIB Total,2022-09-12,4/2022,2.3333,2.5,0.8944,0.0577,5.571,47.0,1
33015,PIB Total,2022-09-12,1/2023,1.0851,1.1,0.8575,-0.748,3.1,41.0,1
33016,PIB Total,2022-09-12,2/2023,0.4308,0.456,0.7467,-1.4388,2.9,41.0,1
33017,PIB Total,2022-09-12,3/2023,0.2542,0.298,0.6803,-1.6,1.9,41.0,1
33018,PIB Total,2022-09-12,4/2023,0.5115,0.6599,1.2785,-5.1812,4.5256,41.0,1
33019,PIB Total,2022-09-12,1/2024,0.9964,1.0,0.6941,-0.7,2.23,28.0,1
33020,PIB Total,2022-09-12,2/2024,1.369,1.325,0.6261,0.13,2.6,20.0,1
33021,PIB Total,2022-09-12,3/2022,2.8043,2.9,0.9027,-0.4,4.25,91.0,0
33022,PIB Total,2022-09-12,4/2022,2.0084,2.0623,0.9039,-0.3,5.571,91.0,0
33023,PIB Total,2022-09-12,1/2023,0.9393,1.0,0.8546,-1.8,3.1,79.0,0
33024,PIB Total,2022-09-12,2/2023,0.2435,0.2,0.7513,-1.4388,2.9,79.0,0
33025,PIB Total,2022-09-12,3/2023,0.1961,0.1,0.7941,-1.6,2.4,79.0,0
33026,PIB Total,2022-09-12,4/2023,0.511,0.6,1.1188,-5.1812,4.5256,79.0,0
33027,PIB Total,2022-09-12,1/2024,0.9396,1.0,0.7536,-0.7,2.6,58.0,0
33028,PIB Total,2022-09-12,2/2024,1.2411,1.165,0.6336,0.0,2.6,28.0,0
33029,PIB Total,2022-09-13,3/2022,2.9099,3.0703,0.9708,0.0,4.25,41.0,1
33030,PIB Total,2022-09-13,4/2022,2.3013,2.23,0.9376,0.0577,5.571,41.0,1
33031,PIB Total,2022-09-13,1/2023,1.0747,1.1,0.8998,-0.748,3.1,36.0,1
33032,PIB Total,2022-09-13,2/2023,0.399,0.4,0.7815,-1.4388,2.9,36.0,1
33033,PIB Total,2022-09-13,3/2023,0.2034,0.2,0.6853,-1.6,1.9,36.0,1
33034,PIB Total,2022-09-13,4/2023,0.4475,0.6114,1.3453,-5.1812,4.5256,36.0,1
33035,PIB Total,2022-09-13,1/2024,0.932,1.0,0.6938,-0.7,2.23,25.0,1
33036,PIB Total,2022-09-13,2/2024,1.4047,1.4,0.6619,0.13,2.6,17.0,1
33037,PIB Total,2022-09-13,3/2022,2.806,2.9,0.904,-0.4,4.25,91.0,0
33038,PIB Total,2022-09-13,4/2022,2.0066,2.076,0.9025,-0.3,5.571,91.0,0
33039,PIB Total,2022-09-13,1/2023,0.9393,1.0,0.8546,-1.8,3.1,79.0,0
33040,PIB Total,2022-09-13,2/2023,0.2435,0.2,0.7513,-1.4388,2.9,79.0,0
33041,PIB Total,2022-09-13,3/2023,0.1961,0.1,0.7941,-1.6,2.4,79.0,0
33042,PIB Total,2022-09-13,4/2023,0.511,0.6,1.1188,-5.1812,4.5256,79.0,0
33043,PIB Total,2022-09-13,1/2024,0.9396,1.0,0.7536,-0.7,2.6,58.0,0
33044,PIB Total,2022-09-13,2/2024,1.2411,1.165,0.6336,0.0,2.6,28.0,0
33045,PIB Total,2022-09-14,3/2022,2.8653,3.0,0.9887,0.0,4.25,39.0,1
33046,PIB Total,2022-09-14,4/2022,2.3341,2.3028,0.9632,0.0577,5.571,39.0,1
33047,PIB Total,2022-09-14,1/2023,1.0625,1.1,0.9096,-0.748,3.1,35.0,1
33048,PIB Total,2022-09-14,2/2023,0.3975,0.4,0.792,-1.4388,2.9,35.0,1
33049,PIB Total,2022-09-14,3/2023,0.1806,0.2,0.6815,-1.6,1.9,35.0,1
33050,PIB Total,2022-09-14,4/2023,0.4314,0.6,1.361,-5.1812,4.5256,35.0,1
33051,PIB Total,2022-09-14,1/2024,0.9292,1.0,0.7079,-0.7,2.23,24.0,1
33052,PIB Total,2022-09-14,2/2024,1.4144,1.455,0.6811,0.13,2.6,16.0,1
33053,PIB Total,2022-09-14,3/2022,2.8042,2.9,0.9044,-0.4,4.25,91.0,0
33054,PIB Total,2022-09-14,4/2022,2.0273,2.1,0.9013,-0.3,5.571,91.0,0
33055,PIB Total,2022-09-14,1/2023,0.9469,1.0,0.8525,-1.8,3.1,79.0,0
33056,PIB Total,2022-09-14,2/2023,0.246,0.2,0.7508,-1.4388,2.9,79.0,0
33057,PIB Total,2022-09-14,3/2023,0.1961,0.1,0.7941,-1.6,2.4,79.0,0
33058,PIB Total,2022-09-14,4/2023,0.5098,0.6,1.1186,-5.1812,4.5256,79.0,0
33059,PIB Total,2022-09-14,1/2024,0.9482,1.0,0.7571,-0.7,2.6,58.0,0
33060,PIB Total,2022-09-14,2/2024,1.2673,1.2,0.6378,0.0,2.6,29.0,0
33061,PIB Total,2022-09-15,3/2022,3.0773,3.1,0.807,0.0,4.25,39.0,1
33062,PIB Total,2022-09-15,4/2022,2.2574,2.3028,0.7794,0.0577,3.78,39.0,1
33063,PIB Total,2022-09-15,1/2023,1.1042,1.1,0.8455,-0.748,2.58,35.0,1
33064,PIB Total,2022-09-15,2/2023,0.3527,0.4,0.7473,-1.4388,1.8,35.0,1
33065,PIB Total,2022-09-15,3/2023,0.142,0.199,0.7541,-1.6,2.0,35.0,1
33066,PIB Total,2022-09-15,4/2023,0.274,0.6,1.2382,-5.1812,2.4016,35.0,1
33067,PIB Total,2022-09-15,1/2024,0.8768,1.0,0.8196,-1.0,2.23,25.0,1
33068,PIB Total,2022-09-15,2/2024,1.4456,1.455,0.7387,-0.1,2.6,18.0,1
33069,PIB Total,2022-09-15,3/2022,2.9072,3.005,0.8312,-0.4,4.25,90.0,0
33070,PIB Total,2022-09-15,4/2022,2.0021,2.088,0.8215,-0.3,3.78,90.0,0
33071,PIB Total,2022-09-15,1/2023,1.0152,1.0,0.8394,-1.8,3.1,79.0,0
33072,PIB Total,2022-09-15,2/2023,0.2727,0.2,0.7467,-1.4388,2.9,79.0,0
33073,PIB Total,2022-09-15,3/2023,0.2031,0.1,0.7997,-1.6,2.4,79.0,0
33074,PIB Total,2022-09-15,4/2023,0.4343,0.6,1.0462,-5.1812,3.2242,79.0,0
