,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
134,PIB Total,2001-12-13,4/2002,3.78,3.9,1.3,1.65,7.78,,0
135,PIB Total,2001-12-14,4/2001,0.31,0.23,0.82,-1.1,1.8,,0
136,PIB Total,2001-12-14,1/2002,-0.03,0.24,1.31,-2.8,2.1,,0
137,PIB Total,2001-12-14,2/2002,1.45,1.5,1.03,-2.04,3.1,,0
138,PIB Total,2001-12-14,3/2002,3.27,3.13,1.11,0.92,6.68,,0
139,PIB Total,2001-12-14,4/2002,3.82,3.9,1.27,2.06,7.78,,0
140,PIB Total,2001-12-17,4/2001,0.37,0.32,0.81,-1.1,1.8,,0
141,PIB Total,2001-12-17,1/2002,-0.03,0.24,1.31,-2.9,2.1,,0
142,PIB Total,2001-12-17,2/2002,1.58,1.5,0.74,-0.3,3.1,,0
143,PIB Total,2001-12-17,3/2002,3.35,3.13,1.02,1.7,6.68,,0
144,PIB Total,2001-12-17,4/2002,3.75,3.9,1.26,2.06,7.78,,0
145,PIB Total,2001-12-18,4/2001,0.37,0.32,0.81,-1.1,1.8,,0
146,PIB Total,2001-12-18,1/2002,-0.03,0.24,1.31,-2.9,2.1,,0
147,PIB Total,2001-12-18,2/2002,1.58,1.5,0.74,-0.3,3.1,,0
148,PIB Total,2001-12-18,3/2002,3.35,3.13,1.02,1.7,6.68,,0
149,PIB Total,2001-12-18,4/2002,3.75,3.9,1.26,2.06,7.78,,0
150,PIB Total,2001-12-19,4/2001,0.5,0.38,0.91,-0.8,3.3,,0
151,PIB Total,2001-12-19,1/2002,0.01,0.24,1.29,-2.9,2.1,,0
152,PIB Total,2001-12-19,2/2002,1.6,1.5,0.68,0.2,3.1,,0
153,PIB Total,2001-12-19,3/2002,3.33,3.13,1.06,1.2,6.68,,0
154,PIB Total,2001-12-19,4/2002,3.68,3.9,1.26,2.06,7.78,,0
155,PIB Total,2001-12-20,4/2001,0.44,0.32,0.73,-0.8,1.8,,0
156,PIB Total,2001-12-20,1/2002,0.07,0.4,1.26,-2.9,2.1,,0
157,PIB Total,2001-12-20,2/2002,1.6,1.57,0.67,0.2,3.1,,0
158,PIB Total,2001-12-20,3/2002,3.32,3.14,1.04,1.2,6.68,,0
159,PIB Total,2001-12-20,4/2002,3.79,3.95,1.24,2.06,7.78,,0
160,PIB Total,2001-12-21,4/2001,0.46,0.32,0.74,-0.8,1.7,,0
161,PIB Total,2001-12-21,1/2002,0.07,0.4,1.26,-2.9,2.1,,0
162,PIB Total,2001-12-21,2/2002,1.62,1.57,0.68,0.2,3.1,,0
